,Unnamed: 0.1,Unnamed: 0,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
104,104,104,Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),22:21,04:35,06h 14m,850.0,16 Seats available,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
105,105,105,Orange Tours And Travels,NON A/C Sleeper (2+1),19:30,02:00,06h 30m,600.0,32 Seats available,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
106,106,106,LVP Travels,A/C Seater / Sleeper (2+1),22:00,04:20,06h 20m,610.0,23 Seats available,3.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
107,107,107,Sitara Travels,NON A/C Push Back (2+2),22:40,04:00,05h 20m,410.0,28 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
108,108,108,Chandu Travels,A/C Seater / Sleeper (2+1),23:05,04:30,05h 25m,437.0,29 Seats available,3.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
109,109,109,BSR Tours And Travels,A/C Sleeper (2+1),22:00,04:00,06h 00m,880.0,20 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
110,110,110,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),19:20,02:05,06h 45m,499.0,25 Seats available,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
111,111,111,SAMANVI CITICONNECT,A/C Sleeper (2+1),22:25,04:20,05h 55m,899.0,26 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
112,112,112,Orange Tours And Travels,NON A/C Sleeper (2+1),22:55,05:15,06h 20m,600.0,32 Seats available,2.8,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
113,113,113,Sri Rama Travels,Non A/C Seater / Sleeper (2+1),22:40,04:15,05h 35m,500.0,34 Seats available,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
114,114,114,Komali Travels,Non A/C Seater / Sleeper (2+1),22:25,04:30,06h 05m,504.0,29 Seats available,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
115,115,115,Sri Venkata Padmavathi Travels,A/C Seater / Sleeper (2+1),22:40,04:45,06h 05m,550.0,31 Seats available,3.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
116,116,116,Morning Star Travels,A/C Sleeper (2+1),23:00,05:05,06h 05m,570.0,23 Seats available,2.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
117,117,117,Navayuga Travels,NON AC Seater / Sleeper 2+1,22:30,04:10,05h 40m,499.0,34 Seats available,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
118,118,118,Sai Srinivasa Travels,Non A/C Seater / Sleeper (2+1),21:30,04:05,06h 35m,460.0,28 Seats available,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
119,119,119,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),22:44,03:35,04h 51m,460.0,31 Seats available,3.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
120,120,120,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),22:20,04:45,06h 25m,560.0,31 Seats available,3.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
121,121,121,Siri Tours and Travels,A/C Seater / Sleeper (2+1),18:35,02:10,07h 35m,500.0,23 Seats available,3.7,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
122,122,122,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),18:15,02:10,07h 55m,598.0,39 Seats available,3.8,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
123,123,123,Sai Srinivasa Travels,A/C Sleeper (2+1),22:35,04:15,05h 40m,700.0,22 Seats available,3.7,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
124,124,124,Venkteshwara Travels,A/C Sleeper (2+1),09:00,10:45,01h 45m,299.0,16 Seats available,2.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
125,125,125,V Kaveri Travels,A/C Sleeper (2+1),22:30,04:30,06h 00m,800.0,24 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
126,126,126,Tirumala Travels,A/C Sleeper (2+1),22:08,04:30,06h 22m,508.0,26 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
127,127,127,Orange Tours And Travels,A/C Seater / Sleeper (2+1),17:00,01:00,08h 00m,1000.0,29 Seats available,3.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
128,128,128,Vinay's Tours and Travels,A/C Sleeper (2+1),23:25,06:05,06h 40m,474.0,24 Seats available,3.8,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
