,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,Origin,Destination
13071,NueGo,Electric A/C Seater (2+2),18:40,23:35,04h 55m,404.0,40 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13072,Ashok Bus Service,VE A/C Seater / Sleeper (2+1),18:45,01:15,06h 30m,599.0,37 Seats available,3.6,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13073,Malana Travels,Volvo A/C Semi Sleeper (2+2),19:00,23:59,04h 59m,570.0,31 Seats available,4.4,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13074,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),19:00,00:00,05h 00m,648.0,41 Seats available,4.5,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13075,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),19:00,23:55,04h 55m,569.0,45 Seats available,4.7,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13076,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),19:00,00:15,05h 15m,474.0,39 Seats available,4.8,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13077,Holiday Appeal Private Limited,Volvo A/C Semi Sleeper (2+2),19:00,23:45,04h 45m,400.0,40 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13078,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),19:00,23:55,04h 55m,474.0,35 Seats available,4.6,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13079,PAL Travel Lines,Bharat Benz A/C Semi Sleeper (2+2),19:00,23:59,04h 59m,584.0,29 Seats available,3.0,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13080,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),19:10,00:20,05h 10m,540.0,28 Seats available,4.2,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13081,R S YADAV SMART BUS PRIVATE LIMITED,Volvo 9600 A/C Semi Sleeper (2+2),19:15,00:54,05h 39m,522.0,39 Seats available,4.6,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13082,Shiv Mohan Travels,AC Sleeper (2+1),19:15,00:50,05h 35m,585.0,36 Seats available,4.3,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13083,PAL Travel Lines,Volvo A/C Semi Sleeper (2+2),19:15,23:45,04h 30m,539.0,33 Seats available,3.0,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13084,Yolo Bus,A/C Seater/Sleeper (2+1),19:15,00:03,04h 48m,460.0,34 Seats available,4.3,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13085,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),19:30,00:40,05h 10m,618.0,41 Seats available,4.7,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13086,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),19:30,00:50,05h 20m,603.0,47 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13087,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),19:30,00:30,05h 00m,665.0,49 Seats available,4.7,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13088,Apex Bus Travels,A/C Seater / Sleeper (2+2),19:30,00:00,04h 30m,600.0,40 Seats available,3.4,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13089,Deltin Travels,Scania Multi-Axle AC Semi Sleeper (2+2),19:30,23:59,04h 29m,600.0,44 Seats available,4.1,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13090,Reo India Travels,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),19:35,23:59,04h 24m,547.0,35 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13091,Reo India Travels,Volvo A/C Semi Sleeper (2+2),19:40,00:25,04h 45m,547.0,25 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13092,City Land Travels,Volvo A/C Semi Sleeper (2+2),19:55,00:40,04h 45m,540.0,28 Seats available,4.3,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
